URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://smart.who.int/ips-pilgrimage/CodeSystem/IPS.HAJJ.ACTOR,1.0.1,active,,IPS_HAJJ_ACTOR,IPS.HAJJ.ACTOR CodeSystem,"CodeSystem for IPS.HAJJ.ACTOR CodeSystem for utilization of IPS during Hajj",
http://smart.who.int/ips-pilgrimage/CodeSystem/IPS.HAJJ.CONSENT,1.0.1,active,,IPS_HAJJ_CONSENT,IPS.HAJJ.CONSENT CodeSystem,"CodeSystem for IPS.HAJJ.CONSENT CodeSystem for utilization of IPS during Hajj",
http://smart.who.int/ips-pilgrimage/CodeSystem/IPS.HAJJ.TRANSACTION,1.0.1,active,,IPS_HAJJ_TRANSACTION,IPS.HAJJ.TRANSACTION CodeSystem,"CodeSystem for IPS.HAJJ.TRANSACTION CodeSystem for utilization of IPS during Hajj",
